ID,Customer_ID,Order_Date,Order_Month,Order_Quarter,Warehouse_Block,Shipment_Mode,Product_Category,Product_Importance,Gender,Weight_gms,Product_Cost,Discount,Customer_Rating,Customer_Care_Calls,Prior_Purchases,Delivery_Status,Delivery_Label,Delivery_Days,Risk_Score,Risk_Score_Value,Return_Risk,Return_Flag,Estimated_Revenue_Loss,Customer_Segment
1,4174,2024-11-23,11,4,D,Flight,Fashion,low,F,1233,177,44,2,4,3,1,On-Time,4,medium,2,Medium,Yes,26.55,Discount-Driven
2,4507,2023-01-17,1,1,F,Flight,Electronics,low,M,3088,216,59,5,4,2,1,On-Time,5,low,1,Low,No,0.0,Discount-Driven
3,1860,2024-01-03,1,1,A,Flight,Beauty,low,M,3374,183,48,2,2,4,1,On-Time,4,medium,2,Medium,Yes,27.45,Discount-Driven
4,2294,2023-05-05,5,2,B,Flight,Electronics,medium,M,1177,176,10,3,3,4,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
5,2130,2023-11-08,11,4,C,Flight,Sports,medium,F,2484,184,46,2,2,3,1,On-Time,6,medium,2,Medium,Yes,27.6,Discount-Driven
6,2095,2023-07-31,7,3,F,Flight,Fashion,medium,F,1417,162,12,1,3,3,1,On-Time,7,medium,2,Medium,Yes,24.3,Loyal Customer
7,4772,2024-04-16,4,2,D,Flight,Fashion,low,F,2371,250,3,4,3,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
8,4092,2024-02-19,2,1,F,Flight,Beauty,low,F,2804,233,48,1,4,2,1,On-Time,3,medium,2,Medium,Yes,34.95,Discount-Driven
9,2638,2024-05-14,5,2,A,Flight,Sports,low,F,1861,150,11,4,3,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
10,3169,2024-12-12,12,4,B,Flight,Furniture,medium,F,1187,164,29,2,3,3,1,On-Time,5,medium,2,Medium,Yes,24.6,Loyal Customer
11,1466,2023-06-30,6,2,C,Flight,Furniture,medium,M,2888,189,12,4,3,2,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
12,2238,2024-01-24,1,1,F,Flight,Beauty,medium,F,3253,232,32,5,4,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
13,1330,2024-10-03,10,4,D,Flight,Sports,medium,F,3667,198,1,5,3,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
14,2482,2024-09-24,9,3,F,Flight,Beauty,high,M,2602,275,29,4,4,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
15,3135,2023-07-06,7,3,A,Flight,Sports,low,M,1009,152,43,3,4,3,1,On-Time,4,medium,2,Medium,Yes,22.8,Discount-Driven
16,4444,2024-11-04,11,4,B,Flight,Electronics,low,F,2707,227,45,3,4,3,1,On-Time,5,medium,2,Medium,Yes,34.05,Discount-Driven
17,4171,2024-09-15,9,3,C,Flight,Beauty,medium,F,1194,143,6,4,3,2,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
18,3919,2024-04-12,4,2,F,Ship,Sports,medium,M,3952,227,36,5,5,3,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
19,4735,2024-04-01,4,2,D,Ship,Furniture,high,M,2495,239,18,5,5,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
20,1130,2023-05-14,5,2,F,Ship,Sports,medium,M,1059,145,45,5,4,3,1,On-Time,3,low,1,Low,No,0.0,Discount-Driven
21,2685,2024-11-28,11,4,A,Ship,Sports,medium,F,1521,161,38,3,3,2,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
22,4380,2023-06-24,6,2,B,Ship,Beauty,medium,F,2899,232,51,1,3,4,1,On-Time,5,medium,2,Medium,Yes,34.8,Discount-Driven
23,1769,2023-09-18,9,3,C,Ship,Electronics,low,M,1750,156,2,5,2,2,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
